id;fecha;id_forma_ingreso;id_contacto_crm;id_coordinadora_crm;id_producto_agrupador;id_oficina_comercial_crm;deleted
2772983;2017-01-02;80;615482;333688;1;1;0
2772987;2017/01/02;83;797041;400257;18;1;0
2772988;2017-01-02;83;800322;400257;18;1;0
2772989;2017-01-02;83;800323;400257;18;1;0
2772990;2017-01-02;83;800324;400257;18;1;0
2772991;2017/01/02;83;800325;400257;18;1;0
2772992;2017-01-02;83;621454;400257;18;1;0
2772993;2017-01-02;83;800326;400257;18;1;0
